#IXO 3.2 m diameter 20 m focal length prescription file,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#"P Reid June 7, 2008",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#"Use Shells 73-172 (outer module); 185-302 (middle module), and 321-461 (inner module).",,,,,,,,,,,,,,,,,
#"Outer module also missing shells 85, 99, 113,...,169 (left off for weight savings)",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#Prescription forms:,,,,,,,,,,,,,,,,,
#,primary - ,r^2 = (d+a+z)^2 - (a+z)^2,,,,,,,,,,,,,,,
#,secondary - ,r^2 = e^2 * (d+z)^2 - z^2,,,,,,,,,,,,,,,
## Note: For the primary, r = r(z), and z runs from 20025 to 20225.  Then
##  r_int = r(20025) 
##  r_aft = r(20225)
#,,,,,,,,,,,,,,,,,
#,"where z=axial direction, z= 0 at nominal on-axis focus, P runs from Z = 20025 mm to 20225 mm,
## and S runs from Z = 19975 mm to 19775 mm",,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
shell,r_int (mm),r_aft (mm),r_for (mm),alpha (rad),graze (rad),d (mm),e,a (mm),ca (cm^2),graze (rad),rh forward,rh aft,Weight (kg),h graze (rad)
96,1493.341317,1493.807103,1497.528176,0.018632192,0.018603219,27.827442244,1.001390404,20055.6742167436,349.690770211172,0.018603219,1491.942372,1480.745520,3.762296,0.055925881
97,1488.632713,1489.097035,1492.806416,0.018573660,0.018544777,27.652537292,1.001381671,20055.3241647486,347.49284462174,0.018544777,1487.238172,1476.076567,3.750433,0.055750193
98,1483.936054,1484.398917,1488.096634,0.018515274,0.018486482,27.478622548,1.001372987,20054.9760960561,345.307362386988,0.018486482,1482.545906,1471.419460,3.738600,0.055574944
99,1479.251311,1479.712717,1483.398801,0.018457034,0.018428332,27.305692748,1.001364353,20054.6300000948,343.134257346362,0.018428332,1477.865545,1466.774168,3.726797,0.055400133
100,1474.578451,1475.038405,1478.712884,0.018398940,0.018370328,27.133742652,1.001355767,20054.2858663544,340.973463661346,0.018370328,1473.197056,1462.140661,3.715025,0.055225761
101,1469.917446,1470.375950,1474.038854,0.018340992,0.018312469,26.962767049,1.001347230,20053.9436843922,338.8249158455,0.018312469,1468.540409,1457.518908,3.703282,0.055051824
102,1465.268262,1465.725322,1469.376678,0.018283188,0.018254755,26.792760755,1.001338741,20053.6034437947,336.688548756907,0.018254755,1463.895575,1452.908879,3.691569,0.054878323
103,1460.630872,1461.086489,1464.726328,0.018225529,0.018197186,26.623718612,1.001330300,20053.2651342201,334.564297568275,0.018197186,1459.262522,1448.310543,3.679885,0.054705256
104,1456.005243,1456.459422,1460.087772,0.018168015,0.018139760,26.455635490,1.001321907,20052.928745376,332.452097826797,0.018139760,1454.641220,1443.723871,3.668232,0.054532622
105,1451.391346,1451.844091,1455.460980,0.018110644,0.018082479,26.288506285,1.001313561,20052.5942670199,330.351885379223,0.018082479,1450.031638,1439.148832,3.656607,0.054360420
